1=p	2=qi.1	3=qi.2	4=qi.3	5=qi.4	6=qi.5	7=qi.6	8=qi.7	9=qi.8	10=theta	11=c	12=s	13=q
0.278698	0.288049	0.272431	0.294297	0.281333	0.278241	0.302506	0.275342	0.296112	1.06174	2056.76	0.597962	0.290899
0.277813	0.287463	0.274625	0.28693	0.285071	0.281014	0.304431	0.275608	0.289541	1.02554	2672.25	0.175846	0.282901
0.278844	0.28745	0.271239	0.285404	0.294237	0.284722	0.300155	0.275962	0.278399	1.04417	3089.43	0.0597196	0.287618
0.278206	0.294124	0.27576	0.277321	0.29567	0.285157	0.300855	0.275332	0.282066	1.04039	3158.4	0.0733334	0.286228
0.275164	0.298698	0.268538	0.285498	0.280797	0.276993	0.305145	0.278207	0.277623	1.03715	1927.3	0.054029	0.282498
0.287258	0.295391	0.267408	0.302153	0.300979	0.278028	0.294222	0.274532	0.286976	0.996906	983.137	0.0264203	0.286624
0.284845	0.293247	0.270207	0.298751	0.295703	0.282452	0.308875	0.2763	0.281661	0.995657	2056	0.0260564	0.283959
0.278102	0.291508	0.256615	0.293195	0.28539	0.271305	0.278728	0.269666	0.28124	0.999604	2359.99	0.154257	0.278023
0.279616	0.300436	0.277986	0.303515	0.296845	0.29997	0.316735	0.284311	0.286323	1.07049	813.505	0.152075	0.293541
0.275927	0.293701	0.272543	0.296012	0.294267	0.274081	0.281479	0.282936	0.295923	1.02147	1304.4	0.158377	0.28019
0.281358	0.304384	0.257596	0.302077	0.293915	0.291654	0.315305	0.268068	0.276208	1.04122	1025.28	0.262108	0.289597
0.288379	0.289796	0.264188	0.303748	0.291722	0.267083	0.280339	0.280559	0.28116	0.944085	482.481	0.0612045	0.276717
0.281739	0.29416	0.26536	0.285067	0.29085	0.269094	0.2998	0.265686	0.271296	0.992635	1501.42	0.123691	0.280246
0.279357	0.302225	0.258624	0.286161	0.289828	0.286137	0.280375	0.27263	0.275477	1.01296	911.011	0.0181136	0.281957
0.283579	0.28678	0.26881	0.310325	0.295925	0.270704	0.311285	0.273465	0.292944	1.00942	998.363	0.0357107	0.285487
0.277843	0.308584	0.259233	0.293866	0.292058	0.288163	0.282168	0.280477	0.279118	1.03845	2070.85	0.433001	0.285477
0.283804	0.285711	0.260794	0.307534	0.297002	0.269832	0.313835	0.268046	0.287036	0.9825	865.699	0.0179103	0.28023
0.285108	0.283478	0.259897	0.30432	0.298216	0.272302	0.308145	0.27378	0.290912	1.00992	1415.73	0.0682753	0.287125
0.27885	0.282339	0.266063	0.308504	0.290525	0.277448	0.299625	0.27008	0.285751	1.05382	1257.19	0.0944598	0.289512
0.279597	0.297137	0.27575	0.28858	0.299244	0.279069	0.291832	0.282414	0.292083	1.01188	1828.86	0.114612	0.281983
0.281151	0.304276	0.270707	0.285008	0.306123	0.279082	0.290258	0.285814	0.285881	1.02473	1731.39	0.108493	0.286114
0.282084	0.276711	0.276918	0.288343	0.283447	0.277695	0.287806	0.26965	0.282613	0.99487	4259.63	0.0398993	0.281043
0.28632	0.293942	0.261614	0.281471	0.282534	0.276245	0.28224	0.281999	0.274817	0.962568	2543.51	0.111046	0.278588
0.283318	0.281188	0.263812	0.297757	0.285394	0.276311	0.295227	0.266642	0.287698	0.988956	1347	0.201352	0.281069
0.279354	0.284539	0.277535	0.300233	0.286291	0.284305	0.298479	0.278732	0.281422	1.04648	4759.43	0.0256615	0.288591
0.279354	0.284539	0.277535	0.300233	0.286291	0.284305	0.298479	0.278732	0.281422	1.04648	4759.43	0.0256615	0.288591
0.277801	0.297597	0.259169	0.282178	0.285753	0.276461	0.294079	0.278932	0.289935	0.972815	559.494	0.81734	0.272305
0.276508	0.292006	0.250411	0.271787	0.294421	0.281558	0.310262	0.27404	0.284623	1.00733	911.944	0.290502	0.277971
0.27943	0.297755	0.274617	0.331701	0.28852	0.276397	0.284276	0.268798	0.291961	1.07773	842.726	0.15188	0.294748
0.282878	0.290894	0.251477	0.26483	0.29618	0.280272	0.30962	0.280069	0.27784	0.937731	609.414	0.139277	0.27002
0.291902	0.292088	0.270063	0.307043	0.30568	0.274207	0.292714	0.279284	0.291447	0.972743	784.157	0.0710103	0.286223
0.286412	0.296393	0.252228	0.296484	0.300586	0.279389	0.293355	0.274539	0.278598	0.97322	1183.81	0.0500455	0.280896
0.289628	0.298474	0.25533	0.303841	0.281356	0.267496	0.315809	0.276482	0.281975	0.935882	343.053	0.293006	0.276186
0.28181	0.283455	0.264654	0.290066	0.293459	0.280385	0.278814	0.267023	0.276567	0.967734	1782.64	0.066038	0.27522
0.280163	0.297238	0.27548	0.289841	0.271249	0.276095	0.293757	0.272229	0.28231	1.01985	3042.35	0.184417	0.284145
0.281935	0.298208	0.280288	0.282474	0.275203	0.283823	0.292417	0.2701	0.281656	1.00428	2799.18	0.107734	0.282801
